age,marital,address,income,inccat,ed,employ,retire,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
34,Unmarried,5,49,$25 - $49,High school degree,12,No,Female,1,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No
38,Married,18,98,$75+,High school degree,11,No,Male,5,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
42,Unmarried,17,165,$75+,College degree,6,No,Male,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
33,Unmarried,9,34,$25 - $49,College degree,2,No,Female,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
42,Married,8,22,Under $25,College degree,1,No,Female,2,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No
19,Unmarried,0,12,Under $25,High school degree,0,No,Male,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
34,Married,6,42,$25 - $49,High school degree,8,No,Male,2,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
30,Unmarried,7,42,$25 - $49,College degree,4,No,Female,1,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
47,Unmarried,16,152,$75+,Did not complete high school,29,No,Female,1,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
29,Unmarried,3,34,$25 - $49,College degree,4,No,Female,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
29,Unmarried,6,37,$25 - $49,High school degree,5,No,Female,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
61,Unmarried,22,57,$50 - $74,High school degree,11,No,Female,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
45,Unmarried,11,96,$75+,High school degree,4,No,Male,1,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
54,Unmarried,26,69,$50 - $74,High school degree,14,No,Female,1,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
30,Unmarried,4,212,$75+,Some college,3,No,Male,2,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
20,Unmarried,0,34,$25 - $49,Some college,0,No,Female,1,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
67,Married,40,10,Under $25,High school degree,13,Yes,Male,2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
30,Unmarried,11,42,$25 - $49,Post-undergraduate degree,4,No,Male,1,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
30,Married,9,15,Under $25,College degree,0,No,Male,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
33,Unmarried,1,27,$25 - $49,College degree,1,No,Female,1,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
24,Married,3,37,$25 - $49,Some college,2,No,Male,4,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
43,Married,8,70,$50 - $74,Some college,7,No,Female,2,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
44,Married,16,61,$50 - $74,High school degree,6,No,Male,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
28,Unmarried,6,40,$25 - $49,College degree,5,No,Male,1,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
56,Married,25,163,$75+,High school degree,18,No,Male,3,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
32,Unmarried,3,47,$25 - $49,Some college,6,No,Female,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
45,Married,20,343,$75+,High school degree,24,No,Male,4,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
32,Unmarried,12,66,$50 - $74,Did not complete high school,15,No,Male,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
50,Unmarried,30,99,$75+,College degree,21,No,Male,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
56,Married,13,79,$75+,High school degree,11,No,Male,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
53,Married,26,39,$25 - $49,Did not complete high school,15,No,Female,4,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
52,Married,22,75,$75+,College degree,12,No,Male,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
60,Unmarried,14,147,$75+,Some college,32,No,Male,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
43,Unmarried,1,139,$75+,Some college,14,No,Female,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
19,Unmarried,0,19,Under $25,High school degree,0,No,Male,3,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
31,Unmarried,3,34,$25 - $49,Some college,10,No,Female,1,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
64,Unmarried,10,56,$50 - $74,College degree,1,No,Female,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
30,Unmarried,0,22,Under $25,High school degree,4,No,Male,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
38,Married,12,66,$50 - $74,High school degree,7,No,Male,3,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
46,Married,20,20,Under $25,Did not complete high school,0,No,Female,3,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
30,Married,2,107,$75+,College degree,6,No,Male,6,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
53,Unmarried,22,36,$25 - $49,Did not complete high school,10,No,Male,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
45,Unmarried,24,43,$25 - $49,High school degree,10,No,Male,2,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
47,Unmarried,7,47,$25 - $49,High school degree,7,No,Male,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
32,Married,6,34,$25 - $49,Did not complete high school,10,No,Female,5,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
34,Unmarried,9,80,$75+,College degree,0,No,Female,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
28,Married,4,30,$25 - $49,High school degree,2,No,Male,2,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
45,Married,19,75,$75+,Some college,7,No,Female,2,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
35,Married,11,35,$25 - $49,College degree,3,No,Male,4,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
53,Unmarried,15,160,$75+,College degree,20,No,Male,1,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
29,Unmarried,7,26,$25 - $49,High school degree,2,No,Female,3,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
30,Unmarried,2,24,Under $25,High school degree,2,No,Female,2,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
51,Married,0,206,$75+,Did not complete high school,24,No,Female,2,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
67,Unmarried,45,65,$50 - $74,High school degree,16,No,Female,1,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
64,Unmarried,24,20,Under $25,Did not complete high school,42,Yes,Male,1,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
44,Unmarried,13,30,$25 - $49,College degree,3,No,Female,1,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No
32,Married,1,33,$25 - $49,Post-undergraduate degree,3,No,Female,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
34,Married,11,38,$25 - $49,Did not complete high school,16,No,Male,2,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
43,Unmarried,1,147,$75+,College degree,14,No,Female,1,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
32,Unmarried,11,37,$25 - $49,High school degree,11,No,Female,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
46,Unmarried,4,36,$25 - $49,Post-undergraduate degree,11,No,Male,1,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
44,Unmarried,0,90,$75+,Some college,19,No,Male,1,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
25,Married,4,21,Under $25,High school degree,6,No,Male,2,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
30,Unmarried,11,26,$25 - $49,Post-undergraduate degree,0,No,Female,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
25,Married,0,22,Under $25,Some college,2,No,Male,5,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
30,Married,2,26,$25 - $49,Some college,7,No,Female,4,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
40,Unmarried,17,52,$50 - $74,Did not complete high school,15,No,Male,2,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
34,Married,5,30,$25 - $49,High school degree,9,No,Male,4,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No
45,Unmarried,22,17,Under $25,High school degree,0,No,Male,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
41,Married,21,38,$25 - $49,Some college,1,No,Female,2,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
34,Married,15,30,$25 - $49,Post-undergraduate degree,5,No,Female,4,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
46,Unmarried,3,40,$25 - $49,High school degree,14,No,Female,1,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
33,Unmarried,12,31,$25 - $49,High school degree,7,No,Male,1,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
70,Married,27,20,Under $25,College degree,0,No,Female,2,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
29,Unmarried,6,35,$25 - $49,Post-undergraduate degree,0,No,Female,1,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
52,Unmarried,22,44,$25 - $49,Post-undergraduate degree,5,No,Female,1,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
57,Married,6,84,$75+,Did not complete high school,24,No,Male,3,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
41,Married,10,105,$75+,Did not complete high school,19,No,Female,2,No,No,Yes,No,No Answer,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
32,Married,7,30,$25 - $49,College degree,2,No,Male,4,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
38,Unmarried,18,83,$75+,Post-undergraduate degree,10,No,Female,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
49,Unmarried,22,58,$50 - $74,Post-undergraduate degree,1,No,Female,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
25,Married,1,18,Under $25,High school degree,1,No,Female,5,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
37,Married,11,69,$50 - $74,College degree,9,No,Male,4,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
61,Unmarried,8,183,$75+,Some college,29,No,Female,1,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
52,Married,6,101,$75+,Did not complete high school,21,No,Female,2,Yes,Yes,Yes,Yes,No Answer,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
57,Unmarried,27,30,$25 - $49,Did not complete high school,7,No,Female,1,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
34,Married,0,56,$50 - $74,High school degree,9,No,Female,4,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
43,Married,18,79,$75+,Some college,13,No,Male,4,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
35,Married,12,34,$25 - $49,College degree,4,No,Male,4,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
27,Married,8,31,$25 - $49,Post-undergraduate degree,0,No,Female,5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
60,Married,4,33,$25 - $49,High school degree,1,No,Female,4,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
45,Married,14,43,$25 - $49,Some college,1,No,Male,3,Yes,Yes,No,Yes,No Answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
43,Unmarried,2,43,$25 - $49,Did not complete high school,15,No,Female,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
42,Married,21,70,$50 - $74,High school degree,20,No,Female,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
44,Unmarried,3,96,$75+,High school degree,9,No,Male,1,Yes,No,No,No,No Answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
54,Unmarried,25,289,$75+,College degree,25,No,Female,1,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
31,Unmarried,0,47,$25 - $49,High school degree,9,No,Female,2,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
25,Married,4,15,Under $25,Some college,0,No,Male,2,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
42,Unmarried,12,164,$75+,Did not complete high school,19,No,Male,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
71,Married,21,504,$75+,High school degree,47,No,Male,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
52,Married,6,86,$75+,High school degree,13,No,Male,2,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
40,Unmarried,8,69,$50 - $74,Did not complete high school,23,No,Male,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
39,Unmarried,5,77,$75+,Some college,11,No,Male,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
43,Married,2,49,$25 - $49,High school degree,16,No,Female,5,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
42,Married,4,28,$25 - $49,Did not complete high school,11,No,Female,4,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
40,Unmarried,16,112,$75+,High school degree,19,No,Female,1,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
56,Married,17,43,$25 - $49,Did not complete high school,14,No,Female,2,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
34,Unmarried,10,26,$25 - $49,Some college,0,No,Male,2,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
57,Unmarried,15,59,$50 - $74,Did not complete high school,19,No,Female,2,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
46,Married,2,46,$25 - $49,High school degree,5,No,Male,3,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
35,Married,12,67,$50 - $74,College degree,10,No,Female,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
55,Married,33,76,$75+,Some college,10,No,Female,4,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
44,Unmarried,19,54,$50 - $74,Did not complete high school,11,No,Male,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
37,Unmarried,5,27,$25 - $49,Some college,7,No,Male,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
32,Unmarried,12,19,Under $25,Did not complete high school,7,No,Male,4,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
47,Unmarried,27,35,$25 - $49,High school degree,8,No,Male,1,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
37,Unmarried,13,37,$25 - $49,College degree,2,No,Female,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
41,Unmarried,15,94,$75+,College degree,10,No,Female,1,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
37,Unmarried,0,69,$50 - $74,High school degree,16,No,Male,2,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
25,Married,3,28,$25 - $49,Some college,1,No,Male,6,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
42,Unmarried,19,72,$50 - $74,College degree,0,No,Male,3,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
66,Married,5,15,Under $25,High school degree,21,Yes,Female,3,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
63,Married,15,19,Under $25,Did not complete high school,14,Yes,Male,2,No,Yes,Yes,Yes,Does not know,No,Yes,Yes,Yes,Yes,No,No,No,No,No
22,Married,2,37,$25 - $49,Some college,0,No,Male,4,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
25,Unmarried,6,49,$25 - $49,Some college,2,No,Female,4,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
32,Unmarried,2,103,$75+,College degree,4,No,Male,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
31,Unmarried,3,62,$50 - $74,Some college,6,No,Male,1,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
30,Married,5,22,Under $25,Some college,5,No,Male,3,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
53,Unmarried,0,118,$75+,Did not complete high school,20,No,Female,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
42,Married,23,25,$25 - $49,High school degree,4,No,Male,5,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
25,Unmarried,0,32,$25 - $49,College degree,0,No,Female,1,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
50,Married,17,30,$25 - $49,Did not complete high school,1,No,Female,5,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
29,Married,1,75,$75+,College degree,1,No,Female,4,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
63,Married,17,46,$25 - $49,Some college,16,No,Male,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
33,Married,9,70,$50 - $74,Some college,0,No,Female,4,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
50,Unmarried,1,356,$75+,College degree,26,No,Male,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
25,Married,2,19,Under $25,High school degree,3,No,Female,2,No,No,No,No,No Answer,No,No,No,Yes,No,No,Yes,No,No,No
49,Unmarried,11,143,$75+,Did not complete high school,29,No,Female,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
41,Unmarried,16,46,$25 - $49,College degree,1,No,Female,3,Yes,Yes,Yes,No,No Answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
51,Married,24,66,$50 - $74,High school degree,13,No,Female,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
33,Unmarried,12,36,$25 - $49,Some college,6,No,Male,1,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
46,Unmarried,12,98,$75+,High school degree,25,No,Male,1,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
71,Unmarried,27,161,$75+,High school degree,18,No,Female,1,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
54,Married,11,37,$25 - $49,Did not complete high school,12,No,Female,3,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
39,Married,11,39,$25 - $49,Some college,0,No,Male,4,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No
54,Unmarried,1,96,$75+,Did not complete high school,31,No,Female,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
54,Married,1,424,$75+,Some college,20,No,Male,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
52,Unmarried,26,128,$75+,High school degree,30,No,Male,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
29,Unmarried,6,33,$25 - $49,Some college,0,No,Male,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
22,Unmarried,1,21,Under $25,College degree,0,No,Male,1,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
53,Unmarried,3,121,$75+,High school degree,32,No,Male,1,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
49,Married,8,306,$75+,Some college,22,No,Male,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
45,Unmarried,18,125,$75+,Some college,17,No,Male,1,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No
58,Unmarried,25,84,$75+,High school degree,19,No,Male,3,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
24,Married,0,22,Under $25,Some college,0,No,Female,3,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
38,Unmarried,9,19,Under $25,High school degree,5,No,Female,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
36,Married,1,30,$25 - $49,Some college,7,No,Male,5,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
48,Married,6,328,$75+,College degree,23,No,Male,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
25,Married,2,25,$25 - $49,High school degree,0,No,Female,5,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
31,Married,11,26,$25 - $49,Some college,8,No,Female,5,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
51,Unmarried,31,55,$50 - $74,High school degree,11,No,Male,1,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
45,Unmarried,18,40,$25 - $49,High school degree,16,No,Female,1,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
70,Married,42,9,Under $25,Post-undergraduate degree,0,Yes,Male,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No
53,Unmarried,25,30,$25 - $49,Did not complete high school,5,No,Female,1,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
55,Married,1,100,$75+,Some college,24,No,Male,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
28,Unmarried,9,20,Under $25,Post-undergraduate degree,0,No,Female,2,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
37,Unmarried,14,36,$25 - $49,Some college,1,No,Female,2,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
56,Unmarried,3,112,$75+,College degree,19,No,Male,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
37,Unmarried,10,36,$25 - $49,High school degree,0,No,Male,1,No,No,No,No,Does not know,No,No,Yes,Yes,Yes,No,No,No,Yes,No
22,Married,1,17,Under $25,Some college,0,No,Male,7,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
29,Unmarried,0,33,$25 - $49,High school degree,7,No,Male,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
61,Married,3,53,$50 - $74,College degree,10,No,Female,2,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
59,Unmarried,27,35,$25 - $49,Did not complete high school,3,No,Male,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
30,Unmarried,9,18,Under $25,College degree,1,No,Male,1,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
40,Married,3,27,$25 - $49,Some college,1,No,Female,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
43,Unmarried,2,64,$50 - $74,High school degree,8,No,Female,2,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
26,Unmarried,0,39,$25 - $49,College degree,3,No,Male,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
40,Unmarried,6,38,$25 - $49,Some college,7,No,Male,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
39,Married,15,36,$25 - $49,Did not complete high school,14,No,Male,3,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
57,Married,31,25,$25 - $49,High school degree,6,No,Male,2,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
35,Married,8,67,$50 - $74,College degree,5,No,Male,4,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
29,Married,1,49,$25 - $49,College degree,2,No,Male,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
57,Unmarried,29,204,$75+,High school degree,37,No,Male,1,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
61,Married,26,76,$75+,Did not complete high school,14,No,Male,2,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
